address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),reviews_list,cuisines_count,listed_in(type),listed_in(city)
"Address_874, Bangalore",KFC,No,Yes,3.8/5,2005,080-1914394,Indiranagar,Bakery,Biryani,"Mexican, Thai, Chinese, Desserts",600,Sample Review Text...,4,Delivery,Bengaluru
"Address_511, Bangalore",Resto_511,No,No,3.4/5,1731,080-2396415,MG Road,Bar,Dosa,"Desserts, North Indian",1500,Sample Review Text...,2,Buffet,Bengaluru
"Address_656, Bangalore",Empire Restaurant,Yes,No,4.7/5,1177,080-4996784,,Bakery,Pasta,"Fast Food, Beverages, Continental, Chinese, Italian",2000,Sample Review Text...,5,Delivery,Bengaluru
"Address_96, Bangalore",Pizza Hut,Yes,Yes,3.2/5,2101,080-4959345,Jayanagar,Casual Dining,Sushi,"Fast Food, Desserts",200,Sample Review Text...,2,Drinks & nightlife,Bengaluru
"Address_759, Bangalore",Resto_759,Yes,Yes,4.7/5,665,080-5449004,Koramangala,Bakery,Sushi,"Continental, Mexican","1,200",Sample Review Text...,2,Delivery,Bengaluru
"Address_109, Bangalore",Resto_109,No,No,2.8/5,2552,080-6688907,Indiranagar,Cafe,Sushi,Mexican,1200,Sample Review Text...,1,Dine-out,Bengaluru
"Address_708, Bangalore",Pizza Hut,No,No,3.2/5,164,080-1479076,HSR Layout,Bar,Pasta,"Chinese, Mexican, Beverages, Desserts, South Indian",3000,Sample Review Text...,5,Buffet,Bengaluru
"Address_758, Bangalore",Resto_758,Yes,Yes,2.4/5,637,080-7960470,Jayanagar,Fine Dining,Pasta,"North Indian, Fast Food, Italian, Mexican",1000,Sample Review Text...,4,Cafes,Bengaluru
"Address_963, Bangalore",Pizza Hut,No,No,NEW,1760,080-9799517,Jayanagar,Bakery,Dosa,"Chinese, Desserts, Beverages, Italian, Continental",600,Sample Review Text...,5,Drinks & nightlife,Bengaluru
"Address_435, Bangalore",Empire Restaurant,No,Yes,,2686,080-7626953,Marathahalli,Bakery,Dosa,"Fast Food, Desserts, Continental, Beverages",3000,Sample Review Text...,4,Delivery,Bengaluru
"Address_642, Bangalore",Resto_642,No,Yes,,298,080-8541520,Marathahalli,Bar,Steak,"Fast Food, North Indian, South Indian",1200,Sample Review Text...,3,Dine-out,Bengaluru
"Address_745, Bangalore",Burger King,Yes,No,4.3/5,1871,080-1397267,Whitefield,Casual Dining,Sushi,"Italian, Continental","1,000",Sample Review Text...,2,Cafes,Bengaluru
"Address_867, Bangalore",Burger King,No,Yes,3.2/5,1768,080-4770193,Koramangala,Bar,Pasta,"Mexican, North Indian, Italian",1200,Sample Review Text...,3,Cafes,Bengaluru
"Address_980, Bangalore",Nandhana Palace,No,No,2.2/5,1850,080-3378560,HSR Layout,Fine Dining,Salad,"Chinese, Mexican, Desserts",2500,Sample Review Text...,3,Pubs and bars,Bengaluru
"Address_649, Bangalore",Resto_649,Yes,No,4.1/5,2263,080-2939164,Marathahalli,Casual Dining,Salad,"Mexican, South Indian, Fast Food, Thai",1500,Sample Review Text...,4,Delivery,Bengaluru
"Address_737, Bangalore",Resto_737,Yes,Yes,3.3/5,2615,080-6528345,Koramangala,Bar,Pizza,"Italian, Fast Food, Thai, Desserts, North Indian",1500,Sample Review Text...,5,Drinks & nightlife,Bengaluru
"Address_150, Bangalore",Resto_150,Yes,No,4.2/5,2285,080-9099554,HSR Layout,Bakery,Pizza,"Mexican, Desserts, South Indian","1,200",Sample Review Text...,3,Drinks & nightlife,Bengaluru
"Address_59, Bangalore",KFC,No,Yes,3.8/5,2776,080-1559763,Jayanagar,Fine Dining,Sushi,North Indian,1000,Sample Review Text...,1,Pubs and bars,Bengaluru
